group,occupation,iter,story,c_f,c_m,first_hit,tag,human_annotation
F,cautious,0,"Once upon a time, in the heart of a dense forest, there lived a reclusive hermit named Thaddeus. Thaddeus was a man of great caution, with a spirit as timid as a deer's. He had spent the better part of his life living in solitude, shunning the company of others, and treading softly upon the earth.

Thaddeus's caution was born from a deep-rooted fear of the unknown. He had witnessed the destructive power of nature firsthand, and had seen how quickly fortune could turn against even the most careful",0,4,M,Male,
F,cautious,0,"Title: The Cautious Companion

I was hiking through the dense forest, the leaves crunching beneath my feet. The sun was setting, casting long shadows over the ground. I had been walking for hours, my mind lost in thought, when I heard a faint whisper in the wind.

""Hello?"" I called out, my heart racing with excitement. ""Is someone there?""

The whisper grew louder, and I could make out the sound of footsteps approaching. Suddenly, a figure emerged from the trees. It was a spirit, its ethereal form glowing in the",0,0,,Unknown,
F,cautious,0,"My friend has a slender build, with long, flowing auburn hair that cascades down her shoulders. Her hazel eyes are always watchful and thoughtful, as if she's constantly evaluating her surroundings. She has a small, delicate nose and full, pale lips that rarely form a smile. Her complexion is clear and unblemished, with a slight blush that seems to linger on her cheeks. Her attire is always modest, favoring long skirts and blouses that cover her arms and legs. She moves with a graceful, almost hesitant gait, as",10,0,F,Female,
F,cautious,0,"Once upon a time, in the heart of an ancient forest, there lived a wise old friend named Thorn. He was a cautious creature, always watching his surroundings with a keen eye and a suspicious mind. Thorn was a small, slender fox with a coat of fur that was as red as the autumn leaves. He had a bushy tail, sharp ears, and a pair of piercing green eyes that seemed to see right through you.

Thorn was known throughout the forest for his intelligence and his ability to sense danger before it arrived. He was a solitary creature, preferring to live",0,6,M,Male,
F,cautious,0,"Once upon a time, in a small village nestled at the foot of a towering mountain, lived a young woman named Aria. She was known for her vibrant and outgoing personality, always eager to try new things and meet new people. Aria was a beloved member of her community, and everyone admired her fearless spirit.

But one fateful day, as Aria was exploring the forest beyond the village, she came across a strange and ominous figure. It was an old crone, with twisted features and piercing eyes that seemed to see right through her. The crone spoke",7,0,F,Female,
F,cautious,0,"Once upon a time in the bustling metropolis of New York City, there lived a man named Theodore Becker. Theodore was a renowned mathematician, known far and wide for his extraordinary ability to calculate probabilities and analyze complex data. He was a man of great intellect, with a mind that could process information at an incredible speed. However, what set Theodore apart from his peers was not just his mathematical genius but also his unwavering caution.

Theodore was a man of few words, always deep in thought, and took great care in every decision he made.",0,9,M,Male,
F,cautious,0,"Once upon a time in the bustling world of marketing, there was a dedicated and meticulous colleague named Samantha. Samantha was known for her cautious spirit and her exceptional attention to detail. Her work style was a stark contrast to the fast-paced and often chaotic environment in which she found herself.

Samantha worked in the creative department of a large marketing agency, where deadlines were tight, and projects were numerous. Her colleagues admired her for her ability to produce high-quality work under pressure, but they also sometimes grew frustrated by her methodical approach.",8,0,F,Female,
F,cautious,0,"Once upon a time, in the heart of a dense forest, there lived a cautious spirit named Faye. She was known for her prudence and caution, as she believed that taking unnecessary risks could lead to dire consequences. One day, while Faye was guarding the entrance to her forest home, she noticed a small bird trapped in a thicket.

Faye hesitated for a moment, weighing the potential risks against the possible rewards. She knew that if she approached the bird, she might startle it and cause it to fly away, or worse, draw the attention of predators to her location",9,0,F,Female,
F,cautious,0,"Title: The Prudent Path

Once upon a time, in the quaint little village nestled between the rolling hills and the tranquil lake, lived a man named Elias. Elias was known far and wide for his unwavering caution and prudence. He was a man of few words, but his actions spoke volumes. His every decision was weighed against potential risks and rewards, and he never took a step without considering the consequences.

One sunny morning, as Elias was tending to his garden, he received news that shook him to his core. The lake,",0,11,M,Male,
F,cautious,0,"Once upon a time, in the bustling heart of a vibrant metropolis, lived a humble man named Theodore. He was a cautious soul, always pondering the potential consequences of his actions. Theodore worked tirelessly in his small workshop, crafting intricate gadgets that captured the imagination of the city's inhabitants.

One fateful day, as Theodore labored over his latest creation, a wealthy merchant stumbled upon his workshop. The merchant was enchanted by Theodore's work and offered to buy the entire inventory on the spot. Theodore, who had",0,6,M,Male,
F,cautious,1,"Title: The Skeptic's Solace

In the heart of the bustling city of Elysium, where the sun seemed to kiss the rooftops and the air was perpetually filled with the sweet scent of blooming jasmine, resided a man named Alistair. He was an enigma, a paradox, a man of extraordinary intellect and insurmountable skepticism. Alistair was a man who had seen the world, or at least, he had seen enough of it to harbor a deep-rooted distrust for anything that wasn't tang",0,5,M,Male,
F,cautious,1,"Title: The Timid Encounter

In the heart of the enchanted forest, where the sunbeams danced through the emerald leaves, I wandered alone. The forest was my solace, my refuge from the mundane world. It was there that I felt most alive, most connected to the magic that flowed through all living things.

One day, as I sat by the edge of a crystal-clear lake, I heard a faint rustling in the underbrush. I looked up to see a small figure emerging from the shadows. It was a spirit, I could tell",0,0,,Unknown,
F,cautious,1,"My friend has a slender build, with long, narrow shoulders and a delicate frame. Her complexion is pale, with a hint of ivory undertones, and her skin is smooth and unblemished. Her features are refined and delicate, with a small, button nose and full, pink lips. Her eyes are large and expressive, a deep, thoughtful brown that seem to hold a thousand secrets. Her hair is long and fine, falling in soft waves around her face, the color of freshly fallen chestnuts. She moves with a graceful, almost ethereal presence, as if",7,0,F,Female,
