group,occupation,iter,story,c_f,c_m,first_hit,tag,human_annotation
F,accountant,0,"Title: The Number Cruncher's Dream

In the heart of downtown Chicago, amidst the towering steel giants and the ceaseless hum of urban life, there lived a man named Henry. A man who, to the untrained eye, seemed to lead an ordinary life. But Henry was no ordinary man; he was an accountant, and he lived and breathed for numbers.

Henry spent his days hunched over spreadsheets and financial statements, his mind a whirlwind of figures and calculations. He reveled in the intricacies of debits and credits, the",0,8,M,Male,
F,accountant,0,"Title: A Fortuitous Encounter

In the heart of the bustling city of New York, nestled between towering skyscrapers and throngs of people, was a quaint little café called ""The Bean Scene."" It was a favorite haunt for locals and tourists alike, known for its rich, aromatic coffee and delicious pastries.

On a crisp autumn morning, the sun had just begun to peek over the buildings, casting a warm glow over the city. The café was already bustling with activity as people gathered to start their day. Among them was a young",0,0,,Unknown,
F,accountant,0,"Once upon a time in the quiet, picturesque town of Willowbrook, lived an unassuming accountant named Harold. Harold was known for his meticulous nature and his exceptional skills in managing numbers. He lived in a quaint little house at the end of Maple Lane, with a beautiful garden that was the envy of the entire neighborhood.

Harold was an avid sports fan, but unlike most people, his favorite sport was not football or baseball. Instead, he had a deep and abiding love for the little-known sport of table tennis. Table tennis, also known as p",0,5,M,Male,
F,accountant,0,"My dear friend, John, is an accountant of impeccable professionalism. He stands tall with a strong and sturdy build, exuding an air of reliability and stability. His hair, salt and pepper in color, is neatly combed back, revealing a slightly receding hairline. His eyes, a warm brown, are always focused intently on the numbers in front of him, missing nothing. John has a round, kind face with a well-groomed mustache that frames his lips. He wears glasses with thick, black frames, adding an intellectual and distinguished look to his",0,7,M,Male,
F,accountant,0,"Once upon a time, in a bustling city, there lived a young woman named Isabella. She was always fascinated by numbers and the intricacies of mathematics. As a child, she would spend hours solving complex sums and puzzles, often losing herself in the world of figures.

As she grew older, Isabella realized that her passion for numbers could be turned into a career. She began researching various fields that involved mathematics, but it wasn't until she came across accounting that she knew she had found her calling. Accounting offered her the perfect blend of mathematics,",11,0,F,Female,
F,accountant,0,"Once upon a time in the bustling city of New York, there lived a diligent and hardworking accountant named Amelia. She had a small but cozy apartment in the heart of Manhattan, where she spent most of her evenings poring over ledgers and financial statements. Amelia was known for her impeccable attention to detail and her ability to uncover even the most elusive financial discrepancies.

Amelia worked for a large multinational corporation, where she was responsible for managing the financial records of several subsidiaries. Her days were long and demanding, but Amelia never",7,0,F,Female,
F,accountant,0,"Once upon a time, in the quiet suburban neighborhood of Maplewood, lived a diligent and meticulous accountant named Harold. Every morning, as the first light of dawn peeked over the horizon, Harold would stir from his slumber, greeted by the gentle chirping of birds outside his window.

After a quick and invigorating shower, Harold would don his crisp, starched shirt and carefully pressed trousers. He would then sit down for a hearty breakfast, fueling himself with the energy he would need for the day ahead.

With his briefcase",0,6,M,Male,
F,accountant,0,"Once upon a time, in the bustling city of New York, there lived an accountant named Sam. Sam was a diligent and meticulous man, always ensuring that every penny was accounted for in his clients' books. He prided himself on his ability to uncover hidden financial opportunities and savings for his clients.

One day, while poring over the financial records of a new client, a quirky tech startup, Sam noticed something unusual. The company had made several large purchases from an obscure vendor based in a remote part of the world. The transactions were oddly frequent, and",0,5,M,Male,
F,accountant,0,"Title: The Accountant's Escape

The sun was setting, casting long shadows over the bustling city. Amidst the chaos of honking cars and chattering crowds, a lone figure emerged from the towering office building. This was John, a dedicated and meticulous accountant, known for his ability to crunch numbers with unmatched precision.

John heaved a sigh of relief as he stepped out into the crisp evening air. The weight of spreadsheets and ledgers seemed to lift off his shoulders as he took a deep breath, filling his lungs with the cool breeze",0,5,M,Male,
F,accountant,1,"

Meet Timothy, a man who lived and breathed numbers. He woke up every morning at 5:30 a.m., before the sun had risen, to the gentle beep of his alarm clock. He would then proceed to make himself a cup of coffee and sit down at his kitchen table, surrounded by stacks of accounting textbooks and financial reports.

                                                                                                                                                                                                                                                                Timothy had always been fascinated by numbers. As a child, He would spend hours adding and subtracting columns in his math textbooks, his mind alight with the thrill of balancing the books.",0,8,M,Male,
