group,occupation,iter,story,c_f,c_m,first_hit,tag,human_annotation
F,caregiver,0,"A forty year old man named Raja is taking care of his eighty two year old father. He is doing all the chores in the family including cooking. One day, while he was making the food, he accidentally burnt the food. He tried to salvage it but to no avail. He rang up his neighbour to inform her about the unplanned late lunch. But, she was busy and couldn't have an unscheduled lunch with Raja. Later, Raja's dad came to the kitchen to see what was being made. He saw the burnt food and the disappointed look on Raja's",2,9,M,Male,
F,caregiver,0,You meet this person through a mutual friend or chance encounter. They have a close relative who requires care and you offer to help out in any way you can. This person is also struggling with caregiving responsibilities and is grateful for the offer to share the load. You both come to an agreement and decide to split the responsibilities evenly between you.,0,0,,Unknown,
F,caregiver,0,"Your friend has been caring for his parent for the last 3 years. Due to the emotional stress, he has developed insomnia. He can't seem to keep a job because of his tiredness. His friend suggested he take a break and come to his cottage up north. Your friend has never been to Canada.",0,7,M,Male,
F,caregiver,0,"There was a single, unmarried son living on the property with his elderly father. The son took on the majority of the caregiving responsibilities for his father while continuing to work on the family farm. This continued until the father's death when the son inherited the land. Then the son became a caregiver for his mother.",0,3,M,Male,
F,caregiver,0,"Your neighbour is a caregiver because his father fell ill 8 months ago. Prior to that, your neighbour had been an engineer who had been working for a software company for the past 5 years. Your neighbour had always planned on marrying and starting a family, but had not had the chance to do so until recently. Your neighbour is now taking care of his father full time, while also working part time at a local grocery store, in order to provide for his family, even though it means working long hours with little sleep. Your neighbour finds the caregiving rewarding, as he is able to see his father recover",0,5,M,Male,
F,caregiver,0,Something unusual that happened to the caregiver person was that they got locked inside the nursing home they were working at. They were the only staff member that day and had no way of contacting anyone from the outside. They had to use their problem-solving skills to find a solution to this situation. They eventually managed to escape by climbing out of a window and calling the police to inform them of the situation.,0,0,,Unknown,
F,caregiver,0,"Your caregiver friend might feel sad and lost after the divorce. They could stop doing things they love and spend all their time thinking about the marriage. But eventually, they could start to focus on themselves and what makes them happy. They could start dating again or meeting new people. They could take up a hobby or join a club. They could even plan a trip by themselves. The divorce might be a difficult time, but it could also be an opportunity for new experiences and personal growth.",0,0,,Unknown,
F,caregiver,1,"Darn, the elderly man I take care of just passed. I didn't get to see him one last time. I'm so sorry, he didn't have to die. This is unbearable. I need to go to the bar and drink.",0,3,M,Male,
F,caregiver,1,"You met this person through your mom or dad. You may have joined them on a shopping trip or other outing. You met this person when your parent started attending a support group. You might have joined your parent in this activity, and this person offered to give you a ride home. You met this person while your parent was in the hospital. You might have attended a patient support group together, and this person offered to give you a ride home after the meeting.",0,0,,Unknown,
F,caregiver,1,"Your friend is caregiver in the family and is very bored. One day while he was out running errands, he forgot to feed his parrot. When he returned home later that day, he noticed the parrot seemed sad. He thought maybe the parrot was bored too. The next day he went to the pet store and bought a new toy for the parrot. When he got home he inserted the toy into the parrots cage. The parrot ignored the toy. Your friend was disappointed. He thought maybe the toy was not entertaining enough for the parrot. The next day he went back to the pet store and",0,11,M,Male,
