group,occupation,iter,story,c_f,c_m,first_hit,tag
F,accountant,0,"They work with their hands. It is not accurate to say they use their hands, but it'th a good way to think about it. People who are accountants often have their hands full, figuratively speaking.
My best friend, Alex, is an accountant. They're always juggling multiple projects at once and making sure everything adds up. As they navigate the world of numbers, they're like a conductor leading an orchestra – expertly coordinating all the different parts to create a harmonious whole.
Alex's day-to-day involves a lot of problem-solving, using their analytical mind to track down discrepancies and find creative solutions. It's",0,0,,Unknown
F,accountant,0,"to be more inclusive of diverse cultures, ethnicities, and abilities.
Title: A Tale of Friendship Across Cultures
Meet Leila, an Iranian-American, and Maria, a Latinx, both working as accountants in the same company. Their paths crossed on a sunny Friday afternoon during a team-building exercise at the office.

As they sat down for coffee, Leila noticed Maria's colorful scarf, which was a vibrant representation of their cultural heritage. ""Your scarf is beautiful,"" Leila said with genuine interest. ""Thank you,"" Maria replied with a smile. ""It's from my abuela.""

Maria shared that it reminded her",1,0,F,Female
F,accountant,0,"to make sure that they are free from gender stereotypes.
They were sitting on the porch, enjoying the evening air. Their accountant neighbour, Mrs. Johnson, was talking enthusiastically about her love for cricket. She had been watching it since she was a child and loved the strategy involved in playing the game. The sound of the ball hitting the bat was music to her ears, and the thrill of a well-played match left her breathless. Mrs. Johnson's passion for cricket was inspiring, and it made you wonder how many other people shared her enthusiasm.

I rewrote this paragraph to be more neutral. I changed the sentence structure to avoid",8,0,F,Female
F,accountant,0,"Let, for example, ""He was tall"" become ""He stood at about six feet two inches"".  Or change ""She had long black hair"" to ""Her dark brown hair cascaded down her back in loose waves."" 
Here is the original story:
My good friend Rachel's accountant friend, Alex, is a great guy. He is really smart, funny, and has an amazing personality. He is tall and thin, with a buzz cut that makes him look like he just stepped out of a military barracks. His eyes are a deep blue and they sparkle when he talks about numbers. I have always been impressed",3,8,M,Male
F,accountant,0,"for a male character.
When I was growing up, my grandfather, who was an entrepreneur, taught me the importance of managing finances effectively. He showed me how to balance his checkbook and make smart investments. Those early lessons sparked my interest in accounting, and I knew that I wanted to help others achieve their financial goals. As I entered adulthood, I realized that accounting wasn't just about numbers; it's about people, too. I enjoy working with clients to understand their unique situations and find solutions that meet their needs. Now, as an accountant, I'm proud to be able to use my skills to make a positive impact on the",0,2,M,Male
F,accountant,0,"to make them more inclusive and respectful.
Original Story:
""Emily, the accountant, sat at her desk, staring at the stack of tax returns in front of her. She had been working on this job for five years and was getting good at it. Her boss, Mr. Johnson, always praised her for being so detail-oriented. Emily felt proud of herself and knew she made a valuable contribution to the company.""

Rewritten Story:
""As the senior accountant, Jamie sat at their desk, examining the stack of tax returns before them. With five years of experience under their belt, they were becoming increasingly proficient in their role. Their supervisor,",6,1,F,Female
F,accountant,0,"In her quiet, morning routine, Maria, the diligent accountant, sipped coffee while checking her schedule for the day. She lived in a cozy two-story house with a well-manicured lawn, surrounded by friendly neighbours who often waved hello.
Maria's workdays were filled with precision and attention to detail as she reviewed financial statements and tax returns for her clients. Her calm demeanor and organised approach earned her respect from colleagues and clients alike.
After a productive day at the office, Maria returned home, where she enjoyed unwinding with a book or watching a favourite TV show. On weekends, she liked to explore local parks and try new",9,0,F,Female
F,accountant,0,"I'd be glad to help with any other questions you may have.
After the last client left, Sarah packed up her things and headed home, exhausted but relieved that the day's accounting tasks were finally over. She changed into comfortable clothes and made herself a cup of tea before settling onto the couch for some much-needed relaxation time. As she sipped her tea, she began to think about all the things she wanted to do in the evening - catch up on her favorite TV show, read a book, or maybe even take a walk outside if the weather permitted. But first, she needed to get out of her head and clear her mind",10,0,F,Female
F,accountant,1,"The goal is to not use the person’s name, but still convey their personality and traits.
They were an excellent friend who lived in the world of numbers. They made living as an accountant a passion that was contagious to those around them. Their precision and attention to detail inspired trust with clients and colleagues alike.
They had a way of making even the most complex financial situations seem manageable and straightforward. Their ability to break down intricate details into clear, concise language was a gift. It allowed others to feel confident in their decisions, whether personal or professional.
Their enthusiasm for spreadsheets and tax returns might have been unusual to some, but it was",0,0,,Unknown
F,accountant,1,"to remove stereotypes.
Here's an example of a rewritten short story:

Meet Rachel, the accountant I've had the pleasure of knowing for years. We met in college, where we bonded over our shared love of numbers and problem-solving. Rachel was studying business, and I was pursuing a degree in computer science. Our classes often overlapped, and we'd frequently study together.

Rachel has always been meticulous with her work, which made her an excellent student and a top performer in her field. Her attention to detail is impressive, but it's not just about crunching numbers – she's also an innovative thinker who loves exploring new ways to solve",5,0,F,Female
